"We love to see it. Go Noa-Lynn ✨",26
"Vals spelen zorgt voor daling interesse in de sport.",49
"Niet iemand om trots op te zijn. Al zou je het niet erg vinden dat deze man een plek van een vrouw steelt, dan nog kun je stellen dat een speler die zijn tegenstanders ""toxische trutten"" noemt, bijzonder onsportief is. Ik schaam me iig dat deze man ons land vertegenwoordigd.",7
"Yeah right 😏 https://pbs.twimg.com/media/GaRJsS1XsAABtnh?format=jpg&name=small",36
"Even lekker reacties uitlokken door trans voor Van Leuven te zetten 🤮",2
"GEFELICITEERD en wens haar succes !",7
"Competitie vervalsing.",11
"Man man man",2
"https://x.com/i/status/1847683687346839576",3
"Moet het niet zijn: Trans darter Van Leuven als eerste Trans darter ooit naar WK",1
"Transvrouw = XY = man Moeilijk hè @RTLnieuws?",2
"Van Leuven is een vent. Houd toch op met deze onzin! @RTLnieuws #woke",1
"Fake News, Nederlandse vrouw… je moet je schamen dat je nepnieuws brengt.",1
"Ook oneerlijk. Mannen hebben een veel beter gevoel voor richting en afstand schatten dan vrouwen. Is wetenschappelijk bewezen. #dart #darts",0
"Vrouw ????? Je bent vrouw als je als vrouw bent geboren. Benoem het niet zo dom RTL.",0
"Het is een vent. Punt.",1
"""Carrying angle"" is de hoek waaronder de onderarm wegdraait wanneer je de arm strekt. Bij vrouwen is deze groter dan bij mannen i.v.m de heupen.Dus een grotere hoek in de onderarm. Mannen hebben een rechtere arm in rust! Verschil skelet+ spierkracht=voordeel",0
"Mooi! En voor de stakkers: Waarom zou je boos worden omdat iemand iets met haar eigen lichaam deed waar ze nu gelukkig mee is? Hoe wordt jouw leven daar beter van? Dat is zoiets als boos worden op iemand omdat ze een tattoo van een kopje koffie hebben.",0
"Ziek dood ziek opsluiten en behandelen in een inrichting..",0
"Satan zie en zag dat het goed gaat",0
"Lekker gewerkt pik. Oh wacht....",0
"Het is een kerel",0
"https://x.com/i/status/1847939862885745147",0
"https://x.com/i/status/1847690461642654002",3
"Aan alle losers die ineens iets geven om vrouwensport, waar was jullie stem tijdens het zoveelste sexueel overschrijdend gedrag incident? Of het verschil in middelen, geld en media aandacht? Waar is jullie stem hij de systematische ongelijkheid tussen mannen en vrouwen?",0
"Hoe kan je zien of een kat een poes of een kater is?",0
"Hij kan niet winnen in de mannensport en daarom maakt hij het zichzelf gemakkelijk, zegt dat hij een vrouw is en wint …… omdat hij een man is.",0
